ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
3245,"Estado *",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/estado/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,estado,,,0,0,12,closed,closed,2025-03-19
3246,"Horário Início  - Segunda-Feira",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-segunda-feira/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-segunda-feira,,,0,0,17,closed,closed,2025-03-26
3247,"Horário Início - Sexta Feira",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-terca-feira/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-terca-feira,,,0,0,25,closed,closed,2025-03-26
3248,"Horário Início - Terça-Feira",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-segunda-feira-3/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-segunda-feira-3,,,0,0,19,closed,closed,2025-03-26
3249,"Horário Início - Quarta-Feira",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-quarta-feira/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-quarta-feira,,,0,0,21,closed,closed,2025-03-26
3250,"Horário Início - Quinta-Feira",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-quinta-feira/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-quinta-feira,,,0,0,23,closed,closed,2025-03-26
3251,"Horário Início - Domingo",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-segunda-feira-4/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-segunda-feira-4,,,0,0,29,closed,closed,2025-03-26
3252,"Horário Início - Sábado",,,2025-03-12,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-segunda-feira-2/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-segunda-feira-2,,,0,0,27,closed,closed,2025-03-26
3254,Telefone,,,2025-03-14,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/telefone/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,telefone,,,0,0,3,closed,closed,2025-04-23
3255,Site,,,2025-03-14,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/website/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,website,,,0,0,14,closed,closed,2025-04-23
3263,"Horário Fim  - Segunda-Feira",,,2025-03-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-fim-segunda-feira/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-fim-segunda-feira,,,0,0,18,closed,closed,2025-03-26
3264,"Horário Fim - Terça-Feira",,,2025-03-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-fim-terca-feira/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-fim-terca-feira,,,0,0,20,closed,closed,2025-03-26
3266,"Horário Fim - Quarta-Feira",,,2025-03-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-fim-quarta-feira/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-fim-quarta-feira,,,0,0,22,closed,closed,2025-03-26
3267,"Horário Fim - Quinta Feira",,,2025-03-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-fim-quinta-feira/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-fim-quinta-feira,,,0,0,24,closed,closed,2025-03-26
3268,"Horário Fim – Sexta Feira",,,2025-03-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-fim-sexta-feira/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-fim-sexta-feira,,,0,0,26,closed,closed,2025-03-26
3270,"Horário Fim - Sábado",,,2025-03-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-fim-sabado/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-fim-sabado,,,0,0,28,closed,closed,2025-03-26
3272,"Horário Fim  - Domingo",,,2025-03-26,afreg_fields,https://sorvetedecerveja.com.br/addify_reg/horario-fim-domingo/,,,,,,,,publish,1,contatowillian@gmail.com,contatowillian@gmail.com,Willian,Thomas,horario-fim-domingo,,,0,0,30,closed,closed,2025-03-26
